kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
no-run-length3;100000;2;32;1024;0.028672;152.725;1978936
no-run-length3;100000;2;64;1024;0.02048;213.815;1978936
no-run-length3;100000;2;128;1024;0.018272;239.653;1978936
no-run-length3;100000;2;256;1024;0.017696;247.453;1978936
no-run-length3;100000;2;512;1024;0.01776;246.562;1978936
no-run-length3;100000;3;8;16;1.84454;2.36774;1967400
no-run-length3;100000;3;16;16;0.796384;5.48404;1967400
no-run-length3;100000;3;32;16;0.318816;13.6988;1967400
no-run-length3;100000;3;64;16;0.162624;26.8558;1967400
no-run-length3;100000;3;128;16;0.084192;51.8743;1967400
no-run-length3;100000;3;256;16;0.04752;91.9066;1967400
no-run-length3;100000;3;512;16;0.028672;152.323;1967400
no-run-length3;100000;3;8;32;0.667616;6.54178;1967400
no-run-length3;100000;3;16;32;0.338016;12.9207;1967400
no-run-length3;100000;3;32;32;0.17216;25.3683;1967400
no-run-length3;100000;3;64;32;0.090112;48.4664;1967400
no-run-length3;100000;3;128;32;0.048352;90.3251;1967400
no-run-length3;100000;3;256;32;0.028864;151.31;1967400
no-run-length3;100000;3;512;32;0.019648;222.282;1967400
no-run-length3;100000;3;8;64;0.33792;12.9244;1967400
no-run-length3;100000;3;16;64;0.171744;25.4297;1967400
no-run-length3;100000;3;32;64;0.088576;49.3068;1967400
no-run-length3;100000;3;64;64;0.048384;90.2654;1967400
no-run-length3;100000;3;128;64;0.028672;152.323;1967400
no-run-length3;100000;3;256;64;0.019904;219.423;1967400
no-run-length3;100000;3;512;64;0.016544;263.987;1967400
no-run-length3;100000;3;8;128;0.171616;25.4487;1967400
no-run-length3;100000;3;16;128;0.089184;48.9707;1967400
no-run-length3;100000;3;32;128;0.047904;91.1698;1967400
no-run-length3;100000;3;64;128;0.028256;154.565;1967400
no-run-length3;100000;3;128;128;0.019776;220.843;1967400
no-run-length3;100000;3;256;128;0.016416;266.045;1967400
no-run-length3;100000;3;512;128;0.01472;296.698;1967400
no-run-length3;100000;3;8;256;0.095744;45.6154;1967400
no-run-length3;100000;3;16;256;0.051136;85.4075;1967400
no-run-length3;100000;3;32;256;0.028672;152.323;1967400
no-run-length3;100000;3;64;256;0.019872;219.777;1967400
no-run-length3;100000;3;128;256;0.016096;271.334;1967400
no-run-length3;100000;3;256;256;0.01472;296.698;1967400
no-run-length3;100000;3;512;256;0.01456;299.959;1967400
no-run-length3;100000;3;8;512;0.059456;73.456;1967400
no-run-length3;100000;3;16;512;0.034464;126.724;1967400
no-run-length3;100000;3;32;512;0.021664;201.597;1967400
no-run-length3;100000;3;64;512;0.016512;264.499;1967400
no-run-length3;100000;3;128;512;0.016192;269.726;1967400
no-run-length3;100000;3;256;512;0.016384;266.565;1967400
no-run-length3;100000;3;512;512;0.01504;290.386;1967400
no-run-length3;100000;3;8;1024;0.0512;85.3008;1967400
no-run-length3;100000;3;16;1024;0.030784;141.872;1967400
no-run-length3;100000;3;32;1024;0.019264;226.713;1967400
no-run-length3;100000;3;64;1024;0.016;272.962;1967400
no-run-length3;100000;3;128;1024;0.017952;243.282;1967400
no-run-length3;100000;3;256;1024;0.018304;238.604;1967400
no-run-length3;100000;3;512;1024;0.018336;238.187;1967400
no-run-length3;100000;4;8;16;1.86051;2.34139;1956181
no-run-length3;100000;4;16;16;0.641024;6.79566;1956181
no-run-length3;100000;4;32;16;0.32352;13.465;1956181
no-run-length3;100000;4;64;16;0.165472;26.3258;1956181
no-run-length3;100000;4;128;16;0.087424;49.8282;1956181
no-run-length3;100000;4;256;16;0.047104;92.4801;1956181
no-run-length3;100000;4;512;16;0.029952;145.439;1956181
no-run-length3;100000;4;8;32;0.679392;6.41188;1956181
no-run-length3;100000;4;16;32;0.344064;12.661;1956181
no-run-length3;100000;4;32;32;0.174496;24.9644;1956181
no-run-length3;100000;4;64;32;0.08992;48.4451;1956181
no-run-length3;100000;4;128;32;0.049824;87.4314;1956181
no-run-length3;100000;4;256;32;0.029376;148.29;1956181
no-run-length3;100000;4;512;32;0.02048;212.704;1956181
no-run-length3;100000;4;8;64;0.344064;12.661;1956181
no-run-length3;100000;4;16;64;0.172416;25.2655;1956181
no-run-length3;100000;4;32;64;0.088096;49.4481;1956181
no-run-length3;100000;4;64;64;0.04784;91.0573;1956181
no-run-length3;100000;4;128;64;0.02928;148.777;1956181
no-run-length3;100000;4;256;64;0.019488;223.531;1956181
no-run-length3;100000;4;512;64;0.016384;265.88;1956181
no-run-length3;100000;4;8;128;0.172768;25.2141;1956181
no-run-length3;100000;4;16;128;0.090112;48.3419;1956181
no-run-length3;100000;4;32;128;0.048864;89.1491;1956181
no-run-length3;100000;4;64;128;0.028672;151.932;1956181
no-run-length3;100000;4;128;128;0.018848;231.122;1956181
no-run-length3;100000;4;256;128;0.016384;265.88;1956181
no-run-length3;100000;4;512;128;0.014592;298.532;1956181
no-run-length3;100000;4;8;256;0.096096;45.3316;1956181
no-run-length3;100000;4;16;256;0.052256;83.3623;1956181
no-run-length3;100000;4;32;256;0.03072;141.803;1956181
no-run-length3;100000;4;64;256;0.020192;215.738;1956181
no-run-length3;100000;4;128;256;0.016384;265.88;1956181
no-run-length3;100000;4;256;256;0.015584;279.529;1956181
no-run-length3;100000;4;512;256;0.015264;285.389;1956181
no-run-length3;100000;4;8;512;0.06144;70.9014;1956181
no-run-length3;100000;4;16;512;0.03456;126.047;1956181
no-run-length3;100000;4;32;512;0.022112;197.005;1956181
no-run-length3;100000;4;64;512;0.016384;265.88;1956181
no-run-length3;100000;4;128;512;0.01584;275.011;1956181
no-run-length3;100000;4;256;512;0.015936;273.355;1956181
no-run-length3;100000;4;512;512;0.014624;297.879;1956181
no-run-length3;100000;4;8;1024;0.052224;83.4134;1956181
no-run-length3;100000;4;16;1024;0.03072;141.803;1956181
no-run-length3;100000;4;32;1024;0.020224;215.397;1956181
no-run-length3;100000;4;64;1024;0.015168;287.195;1956181
no-run-length3;100000;4;128;1024;0.018496;235.52;1956181
no-run-length3;100000;4;256;1024;0.018016;241.795;1956181
no-run-length3;100000;4;512;1024;0.018048;241.366;1956181
no-run-length3;100000;5;8;16;1.79466;2.42153;1945814
no-run-length3;100000;5;16;16;0.646528;6.72177;1945814
no-run-length3;100000;5;32;16;0.326016;13.3301;1945814
no-run-length3;100000;5;64;16;0.168;25.8679;1945814
