kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
no-run-length4;500000;1;8;16;19.1264;0.901106;5234913
no-run-length4;500000;1;16;16;8.02816;2.14681;5234913
no-run-length4;500000;1;32;16;3.9895;4.32006;5234913
no-run-length4;500000;1;64;16;1.93766;8.89469;5234913
no-run-length4;500000;1;128;16;0.968608;17.7935;5234913
no-run-length4;500000;1;256;16;0.516192;33.3886;5234913
no-run-length4;500000;1;512;16;0.284672;60.5431;5234913
no-run-length4;500000;1;8;32;8.42342;2.04607;5234913
no-run-length4;500000;1;16;32;4.22086;4.08327;5234913
no-run-length4;500000;1;32;32;2.12202;8.12195;5234913
no-run-length4;500000;1;64;32;1.04064;16.5618;5234913
no-run-length4;500000;1;128;32;0.520896;33.087;5234913
no-run-length4;500000;1;256;32;0.27888;61.8005;5234913
no-run-length4;500000;1;512;32;0.157696;109.292;5234913
no-run-length4;500000;1;8;64;3.9424;4.37168;5234913
no-run-length4;500000;1;16;64;1.97427;8.72976;5234913
no-run-length4;500000;1;32;64;0.997376;17.2803;5234913
no-run-length4;500000;1;64;64;0.53744;32.0685;5234913
no-run-length4;500000;1;128;64;0.290624;59.3031;5234913
no-run-length4;500000;1;256;64;0.165312;104.257;5234913
no-run-length4;500000;1;512;64;0.09968;172.902;5234913
no-run-length4;500000;1;8;128;2.18726;7.87967;5234913
no-run-length4;500000;1;16;128;1.09853;15.6891;5234913
no-run-length4;500000;1;32;128;0.554784;31.066;5234913
no-run-length4;500000;1;64;128;0.289504;59.5326;5234913
no-run-length4;500000;1;128;128;0.16384;105.194;5234913
no-run-length4;500000;1;256;128;0.098624;174.754;5234913
no-run-length4;500000;1;512;128;0.065568;262.856;5234913
no-run-length4;500000;1;8;256;1.1319;15.2265;5234913
no-run-length4;500000;1;16;256;0.57344;30.0553;5234913
no-run-length4;500000;1;32;256;0.294144;58.5934;5234913
no-run-length4;500000;1;64;256;0.164224;104.948;5234913
no-run-length4;500000;1;128;256;0.097888;176.068;5234913
no-run-length4;500000;1;256;256;0.06512;264.664;5234913
no-run-length4;500000;1;512;256;0.063104;273.119;5234913
no-run-length4;500000;1;8;512;0.618368;27.8716;5234913
