kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
run-length2;50000;2;8;16;7.97421;0.340308;1513689
run-length2;50000;2;16;16;2.53635;1.06992;1513689
run-length2;50000;2;32;16;1.26976;2.13717;1513689
run-length2;50000;2;64;16;0.631712;4.29577;1513689
run-length2;50000;2;128;16;0.33856;8.01539;1513689
run-length2;50000;2;256;16;0.186464;14.5534;1513689
run-length2;50000;2;512;16;0.107712;25.1939;1513689
run-length2;50000;2;8;32;2.82419;0.960873;1513689
run-length2;50000;2;16;32;1.43562;1.89026;1513689
run-length2;50000;2;32;32;0.716352;3.78821;1513689
run-length2;50000;2;64;32;0.365024;7.43428;1513689
run-length2;50000;2;128;32;0.198656;13.6602;1513689
run-length2;50000;2;256;32;0.110592;24.5378;1513689
run-length2;50000;2;512;32;0.068384;39.6831;1513689
run-length2;50000;2;8;64;1.41712;1.91493;1513689
run-length2;50000;2;16;64;0.709824;3.82304;1513689
run-length2;50000;2;32;64;0.364512;7.44472;1513689
run-length2;50000;2;64;64;0.196608;13.8025;1513689
run-length2;50000;2;128;64;0.114688;23.6615;1513689
run-length2;50000;2;256;64;0.067584;40.1528;1513689
run-length2;50000;2;512;64;0.042848;63.3329;1513689
run-length2;50000;2;8;128;0.741376;3.66034;1513689
run-length2;50000;2;16;128;0.380928;7.12389;1513689
run-length2;50000;2;32;128;0.201024;13.4993;1513689
run-length2;50000;2;64;128;0.105952;25.6124;1513689
run-length2;50000;2;128;128;0.066496;40.8098;1513689
run-length2;50000;2;256;128;0.041152;65.9431;1513689
run-length2;50000;2;512;128;0.027456;98.8377;1513689
run-length2;50000;2;8;256;0.384896;7.05045;1513689
run-length2;50000;2;16;256;0.204288;13.2836;1513689
run-length2;50000;2;32;256;0.11472;23.6549;1513689
run-length2;50000;2;64;256;0.069024;39.3152;1513689
run-length2;50000;2;128;256;0.03968;68.3893;1513689
run-length2;50000;2;256;256;0.030016;90.4081;1513689
run-length2;50000;2;512;256;0.031584;85.9197;1513689
run-length2;50000;2;8;512;0.22928;11.8357;1513689
run-length2;50000;2;16;512;0.126976;21.3717;1513689
run-length2;50000;2;32;512;0.07392;36.7112;1513689
run-length2;50000;2;64;512;0.041856;64.8339;1513689
run-length2;50000;2;128;512;0.032544;83.3852;1513689
run-length2;50000;2;256;512;0.032768;82.8152;1513689
run-length2;50000;2;512;512;0.030912;87.7876;1513689
run-length2;50000;2;8;1024;0.168736;16.0825;1513689
run-length2;50000;2;16;1024;0.096192;28.2112;1513689
run-length2;50000;2;32;1024;0.05328;50.9326;1513689
run-length2;50000;2;64;1024;0.031904;85.058;1513689
run-length2;50000;2;128;1024;0.03088;87.8785;1513689
run-length2;50000;2;256;1024;0.030464;89.0786;1513689
run-length2;50000;2;512;1024;0.03184;85.2289;1513689
run-length2;50000;3;8;16;4.03821;0.577677;1132781
run-length2;50000;3;16;16;2.03158;1.14826;1132781
run-length2;50000;3;32;16;1.02605;2.27356;1132781
run-length2;50000;3;64;16;0.536576;4.34753;1132781
run-length2;50000;3;128;16;0.28496;8.18635;1132781
run-length2;50000;3;256;16;0.15248;15.2989;1132781
run-length2;50000;3;512;16;0.091904;25.3828;1132781
run-length2;50000;3;8;32;2.34086;0.996547;1132781
run-length2;50000;3;16;32;1.18592;1.96706;1132781
run-length2;50000;3;32;32;0.595328;3.91848;1132781
run-length2;50000;3;64;32;0.3192;7.30821;1132781
run-length2;50000;3;128;32;0.170048;13.7184;1132781
run-length2;50000;3;256;32;0.098368;23.7148;1132781
run-length2;50000;3;512;32;0.064064;36.4133;1132781
run-length2;50000;3;8;64;1.16563;2.0013;1132781
run-length2;50000;3;16;64;0.589184;3.95934;1132781
run-length2;50000;3;32;64;0.305248;7.64225;1132781
run-length2;50000;3;64;64;0.16864;13.8329;1132781
run-length2;50000;3;128;64;0.096992;24.0513;1132781
run-length2;50000;3;256;64;0.063104;36.9672;1132781
run-length2;50000;3;512;64;0.036864;63.2807;1132781
run-length2;50000;3;8;128;0.604096;3.86161;1132781
run-length2;50000;3;16;128;0.322976;7.22277;1132781
run-length2;50000;3;32;128;0.166496;14.011;1132781
run-length2;50000;3;64;128;0.096672;24.1309;1132781
run-length2;50000;3;128;128;0.06144;37.9684;1132781
run-length2;50000;3;256;128;0.037312;62.5209;1132781
run-length2;50000;3;512;128;0.02544;91.6974;1132781
run-length2;50000;3;8;256;0.330848;7.05091;1132781
run-length2;50000;3;16;256;0.173824;13.4204;1132781
run-length2;50000;3;32;256;0.097408;23.9486;1132781
run-length2;50000;3;64;256;0.06144;37.9684;1132781
run-length2;50000;3;128;256;0.037024;63.0073;1132781
run-length2;50000;3;256;256;0.024832;93.9425;1132781
run-length2;50000;3;512;256;0.029248;79.7587;1132781
run-length2;50000;3;8;512;0.196256;11.8864;1132781
run-length2;50000;3;16;512;0.108544;21.4916;1132781
run-length2;50000;3;32;512;0.067584;34.5168;1132781
run-length2;50000;3;64;512;0.039072;59.7047;1132781
run-length2;50000;3;128;512;0.028672;81.3609;1132781
run-length2;50000;3;256;512;0.029056;80.2857;1132781
run-length2;50000;3;512;512;0.029984;77.8009;1132781
run-length2;50000;3;8;1024;0.14192;16.4373;1132781
run-length2;50000;3;16;1024;0.084512;27.603;1132781
run-length2;50000;3;32;1024;0.048224;48.3739;1132781
run-length2;50000;3;64;1024;0.027424;85.0635;1132781
run-length2;50000;3;128;1024;0.027936;83.5045;1132781
run-length2;50000;3;256;1024;0.028672;81.3609;1132781
