kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
run-length3;100000;3;16;16;3.80723;1.33298;2674969
run-length3;100000;3;32;16;1.90874;2.65881;2674969
run-length3;100000;3;64;16;0.963168;5.26904;2674969
run-length3;100000;3;128;16;0.514048;9.87256;2674969
run-length3;100000;3;256;16;0.267744;18.9546;2674969
run-length3;100000;3;512;16;0.158624;31.9937;2674969
run-length3;100000;3;8;32;4.21635;1.20364;2674969
run-length3;100000;3;16;32;2.11501;2.3995;2674969
run-length3;100000;3;32;32;1.06534;4.76369;2674969
run-length3;100000;3;64;32;0.5432;9.34273;2674969
run-length3;100000;3;128;32;0.285568;17.7715;2674969
run-length3;100000;3;256;32;0.156864;32.3527;2674969
run-length3;100000;3;512;32;0.088064;57.6282;2674969
run-length3;100000;3;8;64;2.00723;2.52834;2674969
run-length3;100000;3;16;64;1.00995;5.02496;2674969
run-length3;100000;3;32;64;0.513888;9.87563;2674969
run-length3;100000;3;64;64;0.277888;18.2626;2674969
run-length3;100000;3;128;64;0.151072;33.593;2674969
run-length3;100000;3;256;64;0.086464;58.6946;2674969
run-length3;100000;3;512;64;0.054816;92.5819;2674969
run-length3;100000;3;8;128;1.05514;4.80978;2674969
run-length3;100000;3;16;128;0.538624;9.4221;2674969
run-length3;100000;3;32;128;0.273216;18.5749;2674969
run-length3;100000;3;64;128;0.147296;34.4542;2674969
run-length3;100000;3;128;128;0.08608;58.9564;2674969
run-length3;100000;3;256;128;0.057344;88.5004;2674969
run-length3;100000;3;512;128;0.038784;130.852;2674969
run-length3;100000;3;8;256;0.566368;8.96055;2674969
run-length3;100000;3;16;256;0.289312;17.5415;2674969
run-length3;100000;3;32;256;0.15376;33.0058;2674969
run-length3;100000;3;64;256;0.084704;59.9142;2674969
run-length3;100000;3;128;256;0.05648;89.8543;2674969
run-length3;100000;3;256;256;0.039392;128.832;2674969
run-length3;100000;3;512;256;0.036864;137.667;2674969
run-length3;100000;3;8;512;0.328032;15.471;2674969
run-length3;100000;3;16;512;0.172032;29.5001;2674969
run-length3;100000;3;32;512;0.094304;53.815;2674969
run-length3;100000;3;64;512;0.073728;68.8337;2674969
run-length3;100000;3;128;512;0.03856;131.612;2674969
run-length3;100000;3;256;512;0.037408;135.665;2674969
run-length3;100000;3;512;512;0.038304;132.492;2674969
run-length3;100000;3;8;1024;0.228576;22.2025;2674969
run-length3;100000;3;16;1024;0.124384;40.8008;2674969
run-length3;100000;3;32;1024;0.07168;70.8003;2674969
run-length3;100000;3;64;1024;0.043008;118.001;2674969
run-length3;100000;3;128;1024;0.042976;118.088;2674969
run-length3;100000;3;256;1024;0.042976;118.088;2674969
run-length3;100000;3;512;1024;0.043008;118.001;2674969
run-length3;100000;4;8;16;10.4553;0.434328;2141023
run-length3;100000;4;16;16;3.92848;1.15592;2141023
run-length3;100000;4;32;16;1.97786;2.29593;2141023
run-length3;100000;4;64;16;1.01206;4.48689;2141023
run-length3;100000;4;128;16;0.524704;8.65445;2141023
run-length3;100000;4;256;16;0.271776;16.7087;2141023
run-length3;100000;4;512;16;0.157472;28.837;2141023
run-length3;100000;4;8;32;4.29546;1.05717;2141023
run-length3;100000;4;16;32;2.15718;2.10507;2141023
run-length3;100000;4;32;32;1.08826;4.17275;2141023
run-length3;100000;4;64;32;0.560512;8.10156;2141023
run-length3;100000;4;128;32;0.292128;15.5446;2141023
run-length3;100000;4;256;32;0.161664;28.0893;2141023
run-length3;100000;4;512;32;0.09216;49.2733;2141023
run-length3;100000;4;8;64;2.06307;2.2011;2141023
run-length3;100000;4;16;64;1.04208;4.35765;2141023
run-length3;100000;4;32;64;0.52688;8.6187;2141023
run-length3;100000;4;64;64;0.280608;16.1828;2141023
run-length3;100000;4;128;64;0.155872;29.133;2141023
run-length3;100000;4;256;64;0.0928;48.9334;2141023
run-length3;100000;4;512;64;0.05904;76.9143;2141023
run-length3;100000;4;8;128;1.07642;4.21865;2141023
run-length3;100000;4;16;128;0.546816;8.30448;2141023
run-length3;100000;4;32;128;0.280928;16.1644;2141023
run-length3;100000;4;64;128;0.1536;29.5639;2141023
run-length3;100000;4;128;128;0.092224;49.2391;2141023
run-length3;100000;4;256;128;0.06144;73.9099;2141023
run-length3;100000;4;512;128;0.040544;112.002;2141023
run-length3;100000;4;8;256;0.585728;7.75278;2141023
run-length3;100000;4;16;256;0.299232;15.1756;2141023
run-length3;100000;4;32;256;0.159744;28.4269;2141023
run-length3;100000;4;64;256;0.093408;48.6149;2141023
run-length3;100000;4;128;256;0.06144;73.9099;2141023
run-length3;100000;4;256;256;0.043072;105.429;2141023
run-length3;100000;4;512;256;0.038976;116.508;2141023
run-length3;100000;4;8;512;0.336;13.515;2141023
run-length3;100000;4;16;512;0.178304;25.4679;2141023
run-length3;100000;4;32;512;0.100352;45.2509;2141023
run-length3;100000;4;64;512;0.06144;73.9099;2141023
run-length3;100000;4;128;512;0.041088;110.519;2141023
run-length3;100000;4;256;512;0.040096;113.254;2141023
run-length3;100000;4;512;512;0.039232;115.748;2141023
run-length3;100000;4;8;1024;0.24032;18.8957;2141023
run-length3;100000;4;16;1024;0.13056;34.7811;2141023
run-length3;100000;4;32;1024;0.07904;57.4522;2141023
run-length3;100000;4;64;1024;0.045376;100.075;2141023
run-length3;100000;4;128;1024;0.045184;100.501;2141023
run-length3;100000;4;256;1024;0.045056;100.786;2141023
run-length3;100000;4;512;1024;0.045056;100.786;2141023
run-length3;100000;5;8;16;8.16294;0.514276;1798010
run-length3;100000;5;16;16;3.80669;1.1028;1798010
run-length3;100000;5;32;16;1.89421;2.21624;1798010
run-length3;100000;5;64;16;0.96816;4.33607;1798010
run-length3;100000;5;128;16;0.51216;8.19668;1798010
run-length3;100000;5;256;16;0.26624;15.7678;1798010
