kernel;element_count;bit_count;block_count;thread_count;time_ms;throughput
no_shared;1048576;3;256;32;0.163712;4.88008
no_shared;1048576;3;512;32;0.159744;5.0013
no_shared;1048576;3;8;64;0.157664;5.06728
no_shared;1048576;3;16;64;0.165728;4.82072
no_shared;1048576;3;32;64;0.160768;4.96945
no_shared;1048576;3;64;64;0.167904;4.75824
no_shared;1048576;3;128;64;0.164352;4.86108
no_shared;1048576;3;256;64;0.1536;5.20135
no_shared;1048576;3;512;64;0.160736;4.97044
no_shared;1048576;3;8;128;0.159744;5.0013
no_shared;1048576;3;16;128;0.161376;4.95072
no_shared;1048576;3;32;128;0.159744;5.0013
no_shared;1048576;3;64;128;0.156672;5.09937
no_shared;1048576;3;128;128;0.160768;4.96945
no_shared;1048576;3;256;128;0.157696;5.06625
no_shared;1048576;3;512;128;0.162528;4.91563
no_shared;1048576;3;8;256;0.15872;5.03357
no_shared;1048576;3;16;256;0.161344;4.95171
no_shared;1048576;3;32;256;0.164864;4.84598
no_shared;1048576;3;64;256;0.159392;5.01235
no_shared;1048576;3;128;256;0.15872;5.03357
no_shared;1048576;3;256;256;0.161792;4.93799
no_shared;1048576;3;512;256;0.164768;4.84881
no_shared;1048576;3;8;512;0.160768;4.96945
no_shared;1048576;3;16;512;0.160768;4.96945
no_shared;1048576;3;32;512;0.155648;5.13292
no_shared;1048576;3;64;512;0.159744;5.0013
no_shared;1048576;3;128;512;0.162816;4.90694
no_shared;1048576;3;256;512;0.157536;5.0714
no_shared;1048576;3;512;512;0.157696;5.06625
no_shared;1048576;3;8;1024;0.156672;5.09937
no_shared;1048576;3;16;1024;0.155456;5.13925
no_shared;1048576;3;32;1024;0.154592;5.16798
no_shared;1048576;3;64;1024;0.157696;5.06625
no_shared;1048576;3;128;1024;0.164576;4.85446
no_shared;1048576;3;256;1024;0.156672;5.09937
no_shared;1048576;3;512;1024;0.155136;5.14986
no_shared;1048576;4;8;16;0.162816;6.44025
no_shared;1048576;4;16;16;0.16384;6.4
no_shared;1048576;4;32;16;0.164736;6.36519
no_shared;1048576;4;64;16;0.167904;6.24509
no_shared;1048576;4;128;16;0.16896;6.20606
no_shared;1048576;4;256;16;0.1664;6.30154
no_shared;1048576;4;512;16;0.165696;6.32831
no_shared;1048576;4;8;32;0.164512;6.37386
no_shared;1048576;4;16;32;0.161792;6.48101
no_shared;1048576;4;32;32;0.17408;6.02353
no_shared;1048576;4;64;32;0.165728;6.32709
no_shared;1048576;4;128;32;0.16448;6.3751
no_shared;1048576;4;256;32;0.165568;6.3332
no_shared;1048576;4;512;32;0.167936;6.2439
no_shared;1048576;4;8;64;0.176;5.95782
no_shared;1048576;4;16;64;0.163616;6.40876
no_shared;1048576;4;32;64;0.17152;6.11343
no_shared;1048576;4;64;64;0.169472;6.18731
no_shared;1048576;4;128;64;0.168832;6.21077
no_shared;1048576;4;256;64;0.165824;6.32343
no_shared;1048576;4;512;64;0.166912;6.28221
no_shared;1048576;4;8;128;0.16896;6.20606
no_shared;1048576;4;16;128;0.162816;6.44025
no_shared;1048576;4;32;128;0.168736;6.2143
no_shared;1048576;4;64;128;0.164864;6.36025
no_shared;1048576;4;128;128;0.164864;6.36025
no_shared;1048576;4;256;128;0.162816;6.44025
no_shared;1048576;4;512;128;0.168736;6.2143
no_shared;1048576;4;8;256;0.16576;6.32587
no_shared;1048576;4;16;256;0.16384;6.4
no_shared;1048576;4;32;256;0.163616;6.40876
no_shared;1048576;4;64;256;0.165888;6.32099
no_shared;1048576;4;128;256;0.16176;6.48229
no_shared;1048576;4;256;256;0.171744;6.10546
no_shared;1048576;4;512;256;0.167936;6.2439
no_shared;1048576;4;8;512;0.165632;6.33076
no_shared;1048576;4;16;512;0.169472;6.18731
no_shared;1048576;4;32;512;0.16272;6.44405
no_shared;1048576;4;64;512;0.164864;6.36025
no_shared;1048576;4;128;512;0.165888;6.32099
no_shared;1048576;4;256;512;0.162656;6.44659
no_shared;1048576;4;512;512;0.16384;6.4
no_shared;1048576;4;8;1024;0.161472;6.49386
no_shared;1048576;4;16;1024;0.16256;6.45039
no_shared;1048576;4;32;1024;0.170592;6.14669
no_shared;1048576;4;64;1024;0.167872;6.24628
no_shared;1048576;4;128;1024;0.172;6.09637
no_shared;1048576;4;256;1024;0.16336;6.4188
no_shared;1048576;4;512;1024;0.167744;6.25105
no_shared;1048576;5;8;16;0.131872;10.602
no_shared;1048576;5;16;16;0.133088;10.5052
no_shared;1048576;5;32;16;0.135168;10.3435
no_shared;1048576;5;64;16;0.133696;10.4574
no_shared;1048576;5;128;16;0.135168;10.3435
no_shared;1048576;5;256;16;0.132992;10.5128
no_shared;1048576;5;512;16;0.134048;10.4299
no_shared;1048576;5;8;32;0.136192;10.2657
no_shared;1048576;5;16;32;0.135104;10.3484
no_shared;1048576;5;32;32;0.135008;10.3558
no_shared;1048576;5;64;32;0.134976;10.3582
no_shared;1048576;5;128;32;0.135168;10.3435
no_shared;1048576;5;256;32;0.134144;10.4225
no_shared;1048576;5;512;32;0.134144;10.4225
no_shared;1048576;5;8;64;0.131072;10.6667
no_shared;1048576;5;16;64;0.134144;10.4225
no_shared;1048576;5;32;64;0.134656;10.3828
no_shared;1048576;5;64;64;0.135168;10.3435
no_shared;1048576;5;128;64;0.135168;10.3435
no_shared;1048576;5;256;64;0.136192;10.2657
no_shared;1048576;5;512;64;0.13312;10.5026
no_shared;1048576;5;8;128;0.131072;10.6667
no_shared;1048576;5;16;128;0.13264;10.5407
no_shared;1048576;5;32;128;0.134144;10.4225
no_shared;1048576;5;64;128;0.1336;10.4649
no_shared;1048576;5;128;128;0.134752;10.3754
no_shared;1048576;5;256;128;0.13312;10.5026
no_shared;1048576;5;512;128;0.132;10.5918
no_shared;1048576;5;8;256;0.134144;10.4225
no_shared;1048576;5;16;256;0.135168;10.3435
no_shared;1048576;5;32;256;0.135168;10.3435
no_shared;1048576;5;64;256;0.134144;10.4225
no_shared;1048576;5;128;256;0.135776;10.2972
no_shared;1048576;5;256;256;0.135072;10.3509
no_shared;1048576;5;512;256;0.136192;10.2657
no_shared;1048576;5;8;512;0.131072;10.6667
no_shared;1048576;5;16;512;0.134144;10.4225
no_shared;1048576;5;32;512;0.137216;10.1891
no_shared;1048576;5;64;512;0.131872;10.602
no_shared;1048576;5;128;512;0.134112;10.425
no_shared;1048576;5;256;512;0.132992;10.5128
no_shared;1048576;5;512;512;0.137216;10.1891
no_shared;1048576;5;8;1024;0.134144;10.4225
no_shared;1048576;5;16;1024;0.132704;10.5356
