kernel;element_count;repeat;block_count;thread_count;time_ms;throughput;length
no-run-length;10000;3;8;16;0.208896;1.70374;195905
no-run-length;10000;3;16;16;0.10864;3.276;195905
no-run-length;10000;3;32;16;0.0584;6.09426;195905
no-run-length;10000;3;64;16;0.031136;11.4307;195905
no-run-length;10000;3;128;16;0.018976;18.7555;195905
no-run-length;10000;3;256;16;0.013248;26.8648;195905
no-run-length;10000;3;512;16;0.012;29.6588;195905
no-run-length;10000;3;8;32;0.11264;3.15967;195905
no-run-length;10000;3;16;32;0.058304;6.1043;195905
no-run-length;10000;3;32;32;0.032768;10.8614;195905
no-run-length;10000;3;64;32;0.01872;19.012;195905
no-run-length;10000;3;128;32;0.01472;24.1783;195905
no-run-length;10000;3;256;32;0.01072;33.2001;195905
no-run-length;10000;3;512;32;0.009888;35.9936;195905
no-run-length;10000;3;8;64;0.058368;6.0976;195905
no-run-length;10000;3;16;64;0.031552;11.2799;195905
no-run-length;10000;3;32;64;0.020032;17.7668;195905
no-run-length;10000;3;64;64;0.014496;24.5519;195905
no-run-length;10000;3;128;64;0.01168;30.4713;195905
no-run-length;10000;3;256;64;0.009088;39.1621;195905
no-run-length;10000;3;512;64;0.008768;40.5914;195905
no-run-length;10000;3;8;128;0.034176;10.4139;195905
no-run-length;10000;3;16;128;0.019776;17.9968;195905
no-run-length;10000;3;32;128;0.014336;24.826;195905
no-run-length;10000;3;64;128;0.01024;34.7563;195905
no-run-length;10000;3;128;128;0.00896;39.7215;195905
no-run-length;10000;3;256;128;0.01024;34.7563;195905
no-run-length;10000;3;512;128;0.010368;34.3273;195905
no-run-length;10000;3;8;256;0.022464;15.8433;195905
no-run-length;10000;3;16;256;0.016384;21.7227;195905
no-run-length;10000;3;32;256;0.012512;28.4451;195905
no-run-length;10000;3;64;256;0.0104;34.2216;195905
no-run-length;10000;3;128;256;0.01024;34.7563;195905
no-run-length;10000;3;256;256;0.01056;33.7031;195905
no-run-length;10000;3;512;256;0.01024;34.7563;195905
no-run-length;10000;3;8;512;0.01952;18.2328;195905
no-run-length;10000;3;16;512;0.014336;24.826;195905
no-run-length;10000;3;32;512;0.012288;28.9636;195905
no-run-length;10000;3;64;512;0.011424;31.1541;195905
no-run-length;10000;3;128;512;0.01024;34.7563;195905
no-run-length;10000;3;256;512;0.014336;24.826;195905
no-run-length;10000;3;512;512;0.013024;27.3269;195905
no-run-length;10000;3;8;1024;0.020608;17.2702;195905
no-run-length;10000;3;16;1024;0.014272;24.9373;195905
no-run-length;10000;3;32;1024;0.013856;25.686;195905
no-run-length;10000;3;64;1024;0.014336;24.826;195905
no-run-length;10000;3;128;1024;0.014336;24.826;195905
no-run-length;10000;3;256;1024;0.013056;27.2599;195905
no-run-length;10000;3;512;1024;0.014112;25.22;195905
no-run-length;10000;4;8;16;0.208736;1.70913;196757
no-run-length;10000;4;16;16;0.108544;3.28675;196757
no-run-length;10000;4;32;16;0.057344;6.22135;196757
no-run-length;10000;4;64;16;0.031616;11.2841;196757
no-run-length;10000;4;128;16;0.019776;18.0399;196757
no-run-length;10000;4;256;16;0.014336;24.8854;196757
no-run-length;10000;4;512;16;0.012288;29.033;196757
no-run-length;10000;4;8;32;0.112064;3.18351;196757
no-run-length;10000;4;16;32;0.059392;6.00682;196757
